GameNumber,PlayerName,Country,Score,SecondaryScore
2,Ashleigh Roberts,United States of America,"1,325",0.9586 
2,#153334,France,"1,300",0.9584 
2,#832435,France,"1,300",0.9583 
2,Cecelia Rieb,United States of America,"1,275",0.9595 
2,#986512,United States of America,"1,275",0.9584 
2,#208142,United Kingdom,"1,275",0.9583 
2,#173772,Egypt,"1,225",0.9606 
2,Marcus Strautman,United States of America,"1,175",1.0000 
2,#940975,France,"1,175",0.9590 
2,#956126,Brazil,"1,125",0.9595 
2,#806924,United States of America,"1,100",0.9588 
2,#518776,Canada,"1,100",0.9583 
2,#211706,United States of America,"1,075",0.9825 
2,Jim Pappalardo,United States of America,"1,075",0.9583 
2,#292487,France,"1,050",0.9679 
2,#420317,France,"1,025",0.9585 
2,#386571,United Kingdom,"1,000",0.9690 
2,#244703,Germany,"1,000",0.9687 
2,#424373,United States of America,"1,000",0.9668 
2,#713228,Guernsey,"1,000",0.9615 
2,#933305,Germany,"1,000",0.9609 
2,#583839,Brazil,"1,000",0.9584 
2,#787692,Canada,"1,000",0.9583 
2,#483414,Hungary,"1,000",0.9583 
2,#101778,United States of America,975,0.9766 
2,James Humpish,United Kingdom,950,0.9789 
2,#559819,United States of America,900,0.9619 
2,#552250,Brazil,900,0.9616 
2,#348458,United States of America,850,0.9589 
2,#954627,United States of America,800,0.9717 
2,#124900,United Kingdom,800,0.9587 
2,#464880,United Kingdom,775,0.9594 
2,#432704,Portugal,775,0.9583 
2,#241934,France,700,0.9596 
2,#336047,United States of America,700,0.9593 
2,#725140,United Kingdom,700,0.9585 
2,#722903,United States of America,700,0.9584 
2,#575197,United States of America,700,0.9583 
2,#558686,United Kingdom,675,0.9594 
2,#597101,United States of America,675,0.9590 
2,#989951,United Kingdom,650,0.9974 
2,#225443,United Kingdom,600,0.9628 
2,#879961,United States of America,600,0.9583 
2,#640677,United States of America,575,0.9584 
2,#124468,France,475,0.9601 
2,#476290,Chile,425,0.9714 
2,#406710,United States of America,425,0.9602 
2,#605927,Romania,425,0.9595 
2,#618886,France,400,0.9595 
2,#954506,United States of America,375,0.9610 
2,#636039,United States of America,375,0.9590 
2,#477513,United States of America,375,0.9584 
2,#459130,Switzerland,300,0.9657 
2,#550954,Netherlands,250,0.9648 
2,#451188,Mexico,200,0.9688 
2,#922881,United States of America,200,0.9647 
2,#505443,France,125,0.9583 
2,#645614,France,100,0.9987 
2,#484729,France,100,0.9978 
2,#711187,United States of America,100,0.9583 
3,Andrew Ngai,Australia,767,0.9792 
3,Isaac Méndez Cortiñas,Spain,676,0.9792 
3,Willem Gerritsen,Netherlands,676,0.9792 
3,Ben Gutscher,China,664,0.9792 
3,Peter Li,Australia,664,0.9792 
3,Steve Schulz,Australia,664,0.9792 
3,Min Chen,Australia,664,0.9792 
3,Nicolas Micot,France,640,0.9792 
3,Michael Clarke,New Zealand,640,0.9792 
3,Matthew Fried,Australia,640,0.9792 
3,Anup Agarwal,India,610,0.9792 
3,Bo Rydobon,Thailand,540,0.9792 
